table_id,state_code,state_name,category,type,description,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
coal-ak-10,AK,Alaska,Consumption,Coal,Coal total consumption,Billion Btu,7189,11552,13559,11999,12029,9888,16431,18462,15998,13191,13159,14121,12753,13286,12485,15271,13706,10259,4689,4182,4310,12521,13182,12403,12883,11587,12150,4330,4362,4719,12387,12675,12509,13630,12578,12882,11152,11719,16471,16394,16455,15911,16429,12552,14075,13994,14981,13662,14705,14505,14548,15481,15521,14819,18225,19511,16613,16376,17325,17620,18527
coal-al-51,AL,Alabama,Consumption,Coal,Coal total consumption,Billion Btu,395400,382455,427177,442465,459000,533142,583457,580163,618335,641466,675603,626054,669734,688650,653405,640063,632096,629412,577580,670208,661023,629957,511059,532596,584607,662890,660525,660678,652717,682145,682496,723921,775653,812948,773804,828277,890742,867264,856479,866512,904181,842337,845999,873735,853917,890098,886678,888436,842826,630969,718684,651032,547004,565051,575912,494311,410168,378890,377152,317180,256687
coal-ar-49,AR,Arkansas,Consumption,Coal,Coal total consumption,Billion Btu,356,275,160,135,186,163,111,104,132,0,0,51,50,2262,2665,862,3578,5244,22833,31728,36648,101935,125193,177458,163879,219791,224547,211011,218821,203343,212707,215945,220706,200450,222169,237334,260060,246786,254658,267022,267579,273982,255242,253653,270210,247169,256907,275037,278849,264083,293689,306119,296732,327099,339214,226889,246437,267591,304145,239798,161980
coal-az-10,AZ,Arizona,Consumption,Coal,Coal total consumption,Billion Btu,210,211,6291,8432,9103,7030,7373,7184,8137,8381,8623,8876,7523,9927,48359,92449,139960,179847,159980,246230,244994,319438,336245,295442,324862,342013,295888,282882,309041,353144,343415,347261,369743,389839,402390,342889,342839,369872,386770,403262,432810,424023,406479,406537,425413,428445,431985,438524,458727,413260,457909,459909,420570,454865,447849,385822,323878,334512,331492,257727,156821
coal-ca-11,CA,California,Consumption,Coal,Coal total consumption,Billion Btu,35903,59106,39681,46127,53723,63693,51515,53949,57011,60031,61812,51015,47452,66956,60670,56405,66630,75109,67892,68565,66170,78401,69415,32022,37243,45264,42519,44951,50824,66427,84160,89519,91515,84669,84616,84323,80324,82651,66157,69547,70012,67839,70010,69469,68909,67422,67017,66495,63050,52403,54972,55264,43832,38151,39486,30967,32077,33663,33256,30886,28034
coal-co-47,CO,Colorado,Consumption,Coal,Coal total consumption,Billion Btu,68206,76938,79296,88958,89600,98117,109021,107862,112995,104487,115688,105682,119005,140487,138302,159333,185147,223762,218619,238041,247615,278732,276433,254698,286888,299070,295376,296539,311372,323462,337375,330609,339652,347233,359375,344201,350712,362423,364889,364236,387879,400028,390480,394163,390186,386670,394348,388586,385416,350224,382623,368871,370085,363532,350526,340107,321476,315835,284474,273338,217082
coal-ct-43,CT,Connecticut,Consumption,Coal,Coal total consumption,Billion Btu,101694,107540,112064,117384,120798,128613,136198,109548,82430,59211,48577,36411,4249,2625,6522,1272,1152,1167,807,1070,364,904,763,712,1489,21316,21216,21396,23112,23762,38511,38582,39166,37303,38584,40787,41120,44982,32569,15231,36246,39991,34206,41864,43997,42023,45722,39931,45188,26265,28711,6081,9290,7679,9097,6536,2340,2507,4023,867,67
coal-dc-52,DC,District of Columbia,Consumption,Coal,Coal total consumption,Billion Btu,27792,25770,22437,18598,18111,13804,23936,22600,23692,32544,28427,15432,12557,14060,12288,10142,5844,3991,2017,2889,3284,2406,3064,3040,2475,3489,1359,1742,781,1488,1733,1653,1254,1279,1169,143,575,983,155,151,177,741,99,173,741,939,0,502,391,331,71,48,77,4,48,44,34,30,37,5,0
coal-de-10,DE,Delaware,Consumption,Coal,Coal total consumption,Billion Btu,20496,20776,22586,26494,29241,29030,38690,40712,44082,41720,37238,36677,23493,21047,21254,22938,20186,17713,21812,23914,28063,50618,47947,73014,72797,71436,66423,70471,69034,61212,59491,56853,46120,63469,57477,52448,50779,48586,45817,35915,50147,38335,40536,46997,53599,56716,56625,63839,60891,33938,30253,17881,17384,18254,10238,7149,8199,4804,4296,2179,1956
coal-fl-42,FL,Florida,Consumption,Coal,Coal total consumption,Billion Btu,27176,36267,39644,43281,46691,55189,70146,96160,103172,104100,116720,117154,123613,152578,146604,133463,141836,159934,175522,202251,225457,236471,240178,318946,378652,472352,459413,586620,611464,636640,633390,650316,649439,654527,663382,686924,745817,751335,749474,716280,760439,725890,719670,723832,699055,672309,696215,720824,693161,581517,637416,552730,482984,505155,557882,466530,426188,407538,327807,233542,180387
